origin,destination,number_of_passengers
"Los Angeles, CA (Metropolitan Area)","New Orleans, LA",1697.0
"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",318.5
"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",438.0
"Los Angeles, CA (Metropolitan Area)","Portland, OR",5280.333333333333
"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",966.75
"Los Angeles, CA (Metropolitan Area)","Reno, NV",1196.0
"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",793.4285714285714
"Los Angeles, CA (Metropolitan Area)","Spokane, WA",718.25
"Los Angeles, CA (Metropolitan Area)","Tulsa, OK",356.75
"Los Angeles, CA (Metropolitan Area)","Wichita, KS",206.5
"Los Angeles, CA (Metropolitan Area)","Little Rock, AR",212.16666666666666
"Los Angeles, CA (Metropolitan Area)","Kansas City, MO",1266.5
"Los Angeles, CA (Metropolitan Area)","Des Moines, IA",238.0
"Los Angeles, CA (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",3871.75
"San Diego, CA","Pittsburgh, PA",237.14285714285714
"San Diego, CA","Hartford, CT",196.0
"San Diego, CA","Cleveland, OH (Metropolitan Area)",252.0
"San Diego, CA","Nashville, TN",388.0
"San Diego, CA","Boise, ID",354.0
"San Diego, CA","Columbus, OH",219.66666666666666
"San Diego, CA","Jacksonville, FL",199.0
"San Diego, CA","Indianapolis, IN",333.85714285714283
"San Diego, CA","Miami, FL (Metropolitan Area)",706.0
"San Diego, CA","Sacramento, CA",2251.25
"San Diego, CA","Kansas City, MO",496.25
"San Diego, CA","San Antonio, TX",437.75
"San Diego, CA","Milwaukee, WI",226.0
"San Diego, CA","New Orleans, LA",377.75
"San Diego, CA","St. Louis, MO",518.0
"San Diego, CA","Tampa, FL (Metropolitan Area)",367.25
"San Diego, CA","Washington, DC (Metropolitan Area)",1984.5
"San Diego, CA","Tucson, AZ",252.42857142857142
"San Diego, CA","Seattle, WA",2462.3333333333335
"San Diego, CA","Spokane, WA",276.7142857142857
"San Diego, CA","Norfolk, VA (Metropolitan Area)",314.3333333333333
"San Diego, CA","Oklahoma City, OK",212.0
"San Diego, CA","Portland, OR",1376.5
"San Diego, CA","Raleigh/Durham, NC",324.2
"San Diego, CA","Reno, NV",384.4
"San Diego, CA","Atlanta, GA (Metropolitan Area)",768.25
"San Diego, CA","Detroit, MI",494.0
"San Diego, CA","Philadelphia, PA",693.0
"San Diego, CA","Salt Lake City, UT",1073.5
"Portland, OR","Nashville, TN",252.4
"Portland, OR","Indianapolis, IN",208.0
"Portland, OR","Miami, FL (Metropolitan Area)",302.0
"Portland, OR","Kansas City, MO",301.4
"Portland, OR","Omaha, NE",212.0
"Portland, OR","Milwaukee, WI",209.0
"Portland, OR","New Orleans, LA",209.33333333333334
"Portland, OR","St. Louis, MO",272.0
"Portland, OR","Sacramento, CA",981.8333333333334
"Portland, OR","Tampa, FL (Metropolitan Area)",201.4
"Portland, OR","Reno, NV",277.25
"Portland, OR","Washington, DC (Metropolitan Area)",911.25
"Portland, OR","Tucson, AZ",225.0
"Portland, OR","Philadelphia, PA",215.0
"Washington, DC (Metropolitan Area)","Pittsburgh, PA",382.0
"Washington, DC (Metropolitan Area)","Albany, NY",433.42857142857144
"Washington, DC (Metropolitan Area)","Hartford, CT",1056.5
"Washington, DC (Metropolitan Area)","Birmingham, AL",414.6
"Washington, DC (Metropolitan Area)","El Paso, TX",259.75
"Washington, DC (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",713.0
"Washington, DC (Metropolitan Area)","Nashville, TN",1533.0
"Washington, DC (Metropolitan Area)","Boise, ID",202.0
"Washington, DC (Metropolitan Area)","Buffalo, NY",523.2857142857143
"Washington, DC (Metropolitan Area)","Columbus, OH",959.25
"Washington, DC (Metropolitan Area)","St. Louis, MO",1211.7142857142858
"Washington, DC (Metropolitan Area)","Jacksonville, FL",1154.75
"Washington, DC (Metropolitan Area)","Panama City, FL",199.0
"Washington, DC (Metropolitan Area)","Fort Myers, FL",1003.4
"Washington, DC (Metropolitan Area)","Grand Rapids, MI",234.57142857142858
"Washington, DC (Metropolitan Area)","Indianapolis, IN",1111.75
"Washington, DC (Metropolitan Area)","Miami, FL (Metropolitan Area)",5661.75
"Washington, DC (Metropolitan Area)","Little Rock, AR",234.25
"Washington, DC (Metropolitan Area)","Louisville, KY",606.0
"Washington, DC (Metropolitan Area)","Sacramento, CA",686.8571428571429
"Washington, DC (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2790.5714285714284
"Washington, DC (Metropolitan Area)","Kansas City, MO",1164.25
"Washington, DC (Metropolitan Area)","San Antonio, TX",1169.0
"Washington, DC (Metropolitan Area)","Memphis, TN",585.5
"Washington, DC (Metropolitan Area)","Omaha, NE",517.0
"Washington, DC (Metropolitan Area)","Milwaukee, WI",791.0
"Washington, DC (Metropolitan Area)","New Orleans, LA",1872.6666666666667
